provinsi,kabupaten_kota,kecamatan,desa_kelurahan
ACEH,KAB. ACEH SELATAN,Pasi Raja,Pasie Rasian
ACEH,KAB. ACEH SELATAN,Pasi Raja,Ujung Padang Rasian
ACEH,KAB. ACEH SELATAN,Pasi Raja,Krueng Kalee
ACEH,KAB. ACEH SELATAN,Pasi Raja,Lhok Sialang Rayeuk
ACEH,KAB. ACEH SELATAN,Pasi Raja,Gampong Baro
ACEH,KAB. ACEH SELATAN,Pasi Raja,Teupin Gajah
ACEH,KAB. ACEH SELATAN,Pasi Raja,Ujung Padang Asahan
ACEH,KAB. ACEH SELATAN,Pasi Raja,Pulo Ie II
ACEH,KAB. ACEH SELATAN,Pasi Raja,Pante Raja
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Tengah Peulumat
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Paya Peulumat
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Padang Peulumat
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Aur Peulumat
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Limau Saring
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Beutong
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Peuneulop
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Gunung Rotan
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Keumumu Hilir
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Keumumu Hulu
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Keumumu Seberang
ACEH,KAB. ACEH SELATAN,Labuhan Haji Timur,Sawang Indah
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Tutong
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Teungoh Iboh
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Peulokan
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Kuta Iboh
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Ujung Padang
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Blang Baru
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Blang Poroh
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Pulo Ie
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Suak Lokan
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Iku Lhueng
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Kuta Trieng
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Pante Geulima
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Panton Pawoh
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Batee Meucanang
ACEH,KAB. ACEH SELATAN,Labuhan Haji Barat,Panton Rubek
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Koto
ACEH,KAB. ACEH SELATAN,Kluet Tengah,Alur Keujrun
